plan_vs_actual.dept_key,plan_vs_actual.division,plan_vs_actual.department,plan_vs_actual.channel,plan_vs_actual.fiscal_year,plan_vs_actual.fiscal_month,plan_vs_actual.fiscal_month_no,plan_vs_actual.has_actual,plan_vs_actual.plan_sales_dollars,plan_vs_actual.budget_sales_dollars,plan_vs_actual.budget_markdown_dollars,plan_vs_actual.budget_receipts_cost,plan_vs_actual.actual_sales_dollars,plan_vs_actual.plan_markdown_dollars,plan_vs_actual.actual_markdown_dollars,plan_vs_actual.actual_eom_retail,plan_vs_actual.plan_bom_retail,plan_vs_actual.plan_eom_retail,plan_vs_actual.plan_receipts_retail,plan_vs_actual.plan_shrink_dollars
Girls Dresses,Girls,Dresses,Wholesale,2024,Oct,9,true,121560.36,120965.23,2741.77,88265.33,130394.01,2546.87,2823.41,118661.65,78261.57,124934.38,170901.61,121.56
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Sep,8,false,121433.38,115030.78,17340.73,31828.44,,14342.65,,,330157.23,282637.38,88741.91,485.73
Boys Tops,Boys,Tops,Ecommerce,2026,Apr,3,true,120220.48,123476.83,18599,82652.5,124255.95,14473.64,18730.39,328557.1,257087.3,340636.19,218723.89,480.88
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Jul,6,true,119646.16,118663.33,16748.93,59787.66,121712.76,16577.63,12831.02,380480.72,324184.51,364215.62,176733.49,478.58
Girls Dresses,Girls,Dresses,Retail Stores,2025,Oct,9,true,119545.67,121271.6,13896.95,68552.09,123314.09,13580.38,18050.36,310105.91,279173.76,324108.1,179136.3,1075.91
Girls Tops,Girls,Tops,Retail Stores,2026,Dec,11,false,119232.59,128790.44,15380.71,33108.59,,10958.99,,,316604.6,285692.03,100352.1,1073.09
Girls Dresses,Girls,Dresses,Wholesale,2024,Jun,5,true,119137.15,118335.55,2680.26,83494.38,117570.84,2207.24,2419.19,119361.37,47140.07,100441.86,174765.33,119.14
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Jun,5,true,119125.04,118519.67,15059.56,223.61,134436.26,15822.04,16679.47,247149.95,397945.14,263327.16,805.6,476.5
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,May,4,true,119006.84,114466.1,16038.02,34789.08,114635.88,16622.87,9177.09,355375.69,368646.63,336044.75,103503.86,476.03
Girls Dresses,Girls,Dresses,Retail Stores,2025,Jun,5,true,118223.36,120058.89,11087.1,9033.96,114931.95,12405.08,14424.58,289304.54,418325.89,288090.13,1456.69,1064.01
Baby Rompers,Baby,Rompers,Ecommerce,2025,Nov,10,true,116264.18,114928.17,17415.62,80967.05,125944.07,17883.94,21749.15,313255.88,240554.64,349432.69,243491.23,465.06
Girls Sets,Girls,Sets,Ecommerce,2026,Sep,8,false,116041.25,115030.78,16828.27,26932.04,,14345.04,,,308013.9,256807.09,79643.65,464.17
Girls Dresses,Girls,Dresses,Retail Stores,2024,May,4,true,115990.34,115952.67,13145.14,31516.21,113788.73,13224.46,9606.89,369003.6,356890.43,351364.46,124732.75,1043.91
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Sep,8,true,115829.33,113731,16780.92,39731.9,93575.59,14757.81,15613.44,280876.96,292520.99,259407.37,97936.83,463.32
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2026,Dec,11,false,114922.97,122430.42,17127.84,30338.83,,15998.44,,,282285.05,263787.58,112883.64,459.69
Boys Tops,Boys,Tops,Ecommerce,2024,Nov,10,true,114788.64,112015.76,14730.7,82927.02,110035.95,14894.56,13068.47,345852.93,225389.26,326520.68,231273.77,459.15
Girls Dresses,Girls,Dresses,Retail Stores,2025,Sep,8,true,114705.66,115208.02,13707.92,40729.02,126969.71,11091.44,11022.87,263454.77,312542.46,279173.76,93460.75,1032.35
Boys Bottoms,Boys,Bottoms,Ecommerce,2026,Dec,11,false,113930.78,114268.39,15406.03,29961.19,,16330.89,,,305229.94,249844.36,75331.81,455.72
Girls Tops,Girls,Tops,Ecommerce,2024,Aug,7,true,113772.89,118816.71,14798.37,52423.98,108275.16,17541.78,25583.66,317720.01,308312.26,323380.04,146837.54,455.09
Girls Tops,Girls,Tops,Ecommerce,2024,Jul,6,true,113762.93,113415.95,15857.47,49429.11,112531.79,16641.41,20767.1,311719.38,298787.84,308312.26,140383.82,455.05
Boys Tops,Boys,Tops,Ecommerce,2026,May,4,true,113356.79,114059.11,15035.73,39519.58,116047.5,14358.1,16081.77,306244.17,340636.19,319979.08,107511.2,453.43
Girls Dresses,Girls,Dresses,Retail Stores,2026,Feb,1,true,113184.57,105894.36,11211.94,24428.13,105579.64,12688.24,11679.14,321705.97,329405.61,306146.65,103632.52,1018.66
Girls Dresses,Girls,Dresses,Wholesale,2024,Mar,2,true,112542.24,113952.76,2215.96,42372.35,123538.08,2304.66,1546.49,83603.57,130379.88,87776.08,72355.65,112.54
Girls Dresses,Girls,Dresses,Retail Stores,2024,Mar,2,true,112393.7,112761.32,13408.84,61315.96,117529.27,11640.34,10895.15,240877.78,228652.9,258259.75,154652.44,1011.54
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Aug,7,false,112253.37,106554.83,15026.44,47074.6,,15648.1,,,310460.59,330157.23,148047.13,449.01
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,Mar,2,true,111902.88,111315.66,13756.78,64282.75,123913.63,14777.82,16629.7,249746.85,222552.97,257262.99,161838.33,447.61
Baby Rompers,Baby,Rompers,Ecommerce,2026,Apr,3,true,111739.18,111129.15,13293.81,78919.36,118316.14,14290.61,17402.35,327369.9,227162.93,339855.77,239169.58,446.96
Girls Sets,Girls,Sets,Ecommerce,2025,May,4,true,111634.3,111849.73,15907.83,38582.37,108594.66,17321.52,15732.46,334278.77,348172.76,335628.94,116858.54,446.54
Baby Rompers,Baby,Rompers,Ecommerce,2024,Dec,11,true,111482.53,109215.36,15734.64,25813.75,106929.37,14114.74,16445.31,242525.08,306726.8,246729.73,66046.14,445.93
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,May,4,true,110755.41,111849.73,13432.9,31804.44,105377.59,15235.29,15817.19,337181.48,340619.89,326553.51,112367.33,443.02
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,Mar,2,true,110423.17,108771.3,16622.61,54455.4,114826.46,14728.03,17413.18,256704.6,224891.79,265784.45,166485.55,441.69
Girls Sets,Girls,Sets,Ecommerce,2026,Aug,7,false,110382.64,106554.83,14396.45,47224.65,,13985.15,,,307594.8,308013.9,125228.43,441.53
Boys Tops,Boys,Tops,Ecommerce,2026,Mar,2,true,109947.64,110919.87,13203.35,55875.21,101700.65,16443.65,12221.45,287893.41,234731.18,257087.3,149187.21,439.79
Girls Sets,Girls,Sets,Ecommerce,2025,Mar,2,true,109637.44,108771.3,12783.19,54823.49,109355.03,14779.87,14370.83,281488.7,232518.59,248161,140498.27,438.55
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Jul,6,true,108589.97,101711.43,15680.75,45772.58,109063.41,15978.7,17214.24,306039.22,298333.57,310460.59,137130.05,434.36
Girls Tops,Girls,Tops,Ecommerce,2025,Feb,1,true,108385.21,113902.02,15900.24,25829.33,101134.91,13190.17,14141.35,308298.85,415426.07,301258.41,7841.26,433.54
Baby Rompers,Baby,Rompers,Ecommerce,2024,Nov,10,true,108006.5,100814.18,14341.1,80178.96,120086.79,14340.24,12192.77,290643.65,215603.63,306726.8,213901.94,432.03
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2025,Dec,11,true,107642.01,103754.59,12825.74,35435.12,104322.3,16660.13,19785.35,266692.65,263570.75,261779.35,122941.31,430.57
Girls Dresses,Girls,Dresses,Retail Stores,2025,Aug,7,true,107605.14,106719.01,9721.73,40160.23,112531.76,11565.69,13695.75,297512.72,298251.83,312542.46,134429.91,968.45
Girls Tops,Girls,Tops,Retail Stores,2025,Dec,11,true,107429.21,109144.44,9915.85,28942.31,111748.18,11987.55,14876.32,234666.86,294991.6,240530.27,65922.29,966.86
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Aug,7,true,107301.26,105350.82,14715.04,45276.17,105942.88,14629.29,16670.81,288659.26,305567.09,292520.99,109313.65,429.21
Girls Sets,Girls,Sets,Ecommerce,2024,Apr,3,true,107300.82,106214.94,13265.4,68961.12,90253.09,14488.33,17306.74,296801.95,214404.79,290566.99,198380.55,429.2
Boys Tops,Boys,Tops,Ecommerce,2025,Apr,3,true,107165.65,104641.39,12244.14,68292.57,107773.33,16535.42,15871.62,310113.25,214542.47,298569.47,208156.73,428.66
Boys Bottoms,Boys,Bottoms,Ecommerce,2026,Nov,10,false,106574.03,105478.52,13414.56,80610.99,,13892.8,,,212864.7,305229.94,213258.35,426.3
Girls Sets,Girls,Sets,Ecommerce,2025,Oct,9,true,106381.69,102614.43,14248.4,61532.86,111943.16,12509.28,11433.96,307737.99,219857.7,321146.01,220604.8,425.53
Boys Tops,Boys,Tops,Ecommerce,2026,Jun,5,true,106129.4,103594.97,12881.92,13151.59,98487.17,14556.73,18962.9,234549.15,319979.08,232395.76,33527.33,424.52
Girls Dresses,Girls,Dresses,Retail Stores,2024,Jun,5,true,105898.4,105314.81,12667.51,15995.77,101409.29,11561.09,11737.49,238104.98,351364.46,233854.21,902.33,953.09
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Feb,1,true,105760.71,104536.74,12879.22,29271.12,99877.5,12494.48,14593.38,306658.12,371924.27,304759.42,51513.39,423.04
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,Oct,9,true,105564.3,105014.77,12705.22,68397.08,124433.47,12359.08,13271.94,260452.46,242584.78,295485.49,171246.35,422.26
Girls Dresses,Girls,Dresses,Retail Stores,2024,Oct,9,true,105370.74,106378.6,10188.35,67100.57,109013.21,10207.96,13585.67,280456.09,237181.19,286501.8,165847.65,948.34
Boys Tops,Boys,Tops,Ecommerce,2026,Oct,9,false,105152.67,104641.39,15594.3,69234.74,,13842.87,,,245542.76,313457.05,187330.45,420.61
Girls Tops,Girls,Tops,Retail Stores,2026,Nov,10,false,104989.85,118883.49,13819.27,93844.18,,10139.47,,,207879.2,316604.6,224799.63,944.91
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,Oct,9,true,104813.3,102614.43,12845.21,73010.38,107695.22,13482.73,17169.7,311251.07,220456.63,301097.14,199355.79,419.25
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Jul,6,true,104223.14,100562.15,14350.25,48670.33,105942.53,15840.5,18548.12,296618.87,263327.16,305567.09,162720.46,416.89
Girls Tops,Girls,Tops,Retail Stores,2025,Nov,10,true,104210.39,100748.72,10772.84,79155.34,106202.66,9571.45,8568.6,285462.81,203924.25,294991.6,205787.08,937.89
Girls Dresses,Girls,Dresses,Wholesale,2025,Sep,8,true,104187.14,104924.19,1917.38,60301.36,109927.46,2217.55,3003.57,67342.2,75428.66,83197.57,114277.79,104.19
Girls Sets,Girls,Sets,Ecommerce,2026,Jul,6,true,104027.28,101711.43,15663,56579.61,104657.87,14241.6,16497.58,294925.76,295642.17,307594.8,130637.62,416.11
Girls Bottoms,Girls,Bottoms,Ecommerce,2024,Apr,3,true,103672.85,106214.94,14410.14,76246.88,112336.16,15041.53,13561.6,301431.48,237552.99,296388.54,177964.61,414.69
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2026,Nov,10,false,103535.84,113012.7,14724.79,77664.4,,14234.98,,,206802.27,282285.05,193667.75,414.14
Girls Dresses,Girls,Dresses,Wholesale,2026,Nov,10,false,103507.82,100227.58,2070.66,19354.51,,2285.03,,,157425.44,109646.89,58117.8,103.51
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2026,Dec,11,false,103266.25,100170.34,9609.46,26225.34,,11512.39,,,267722.43,250808.28,98793.89,929.4
Girls Dresses,Girls,Dresses,Retail Stores,2025,Jul,6,true,103264.25,101868.15,10069.1,50609.23,125294.1,10118.12,13273.9,269655.98,288090.13,298251.83,124473.44,929.38
Girls Sets,Girls,Sets,Ecommerce,2025,Jun,5,true,102723.8,101588.29,12969.11,14640.25,90618.64,14257.96,14787.42,234931.84,335628.94,223552.26,5315.98,410.9
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,Jun,5,true,102656.23,101588.29,13098.58,15815.82,103319.4,13337.8,15268.93,243641.65,326553.51,249802.16,39653.3,410.62
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,Jun,5,true,102623.16,103964.62,12742.55,5067.85,103741.77,12917.08,13829.42,244600.38,336044.75,244665.83,24571.82,410.49
Girls Tops,Girls,Tops,Ecommerce,2026,Jan,12,false,102383.56,114425.36,17548.21,0,,13275.29,,,544143.79,428075.41,0,409.53
Girls Tops,Girls,Tops,Ecommerce,2024,Feb,1,true,101920.56,99914.05,11934.76,38020.66,110340.3,11767.91,15974.25,280178.7,281544,287446.68,119998.83,407.68
Baby Rompers,Baby,Rompers,Ecommerce,2026,May,4,true,101256.43,102653.2,15157.53,32009.77,96214.08,11900.99,15197.86,281218.59,339855.77,280476.05,54182.72,405.03
Boys Tops,Boys,Tops,Ecommerce,2026,Sep,8,false,100768.8,99409.32,11436.01,33494.83,,14851.41,,,248974.55,245542.76,112591.49,403.08
Girls Tops,Girls,Tops,Ecommerce,2025,Jan,12,true,100768.59,96970.64,11427.94,0,93602.39,15604.77,20524.07,418716.11,533256.55,416480.12,0,403.07
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,Sep,8,true,100403.19,99764.03,11919.13,28714.21,103821.35,13669.44,16602.91,241038.7,262680.88,242584.78,94378.14,401.61
Girls Dresses,Girls,Dresses,Retail Stores,2024,Sep,8,true,100151.74,101059.67,11118.41,19502.25,117705.76,9052.18,11915.61,219316.35,278553.43,237181.19,68733.05,901.37
Baby Rompers,Baby,Rompers,Ecommerce,2026,Mar,2,true,98136.99,99827.88,13866.94,57370.93,92160.29,12426.77,16033.98,229919.81,195548.11,227162.93,142571.13,392.55
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,Sep,8,true,98010.63,97483.71,14691.73,27903.9,99254.34,13518.7,14010.63,221332.53,281510.24,220456.63,50867.77,392.04
Girls Bottoms,Girls,Bottoms,Ecommerce,2024,Mar,2,true,97632.05,95413.42,13422.54,41573.73,101727.22,12688.07,11410.88,227428.13,190920.37,237552.99,157343.27,390.53
Girls Bottoms,Girls,Bottoms,Ecommerce,2024,May,4,true,97394.78,98113.8,15047.94,29457.79,95852.26,12587.54,12768.92,287383.06,296388.54,281408.99,95392.36,389.58
Girls Sets,Girls,Sets,Ecommerce,2024,May,4,true,97109.22,98113.8,11311.14,35419.21,100754.76,12949.98,11083.59,288065.11,290566.99,291330.73,111211.38,388.44
Girls Sets,Girls,Sets,Ecommerce,2024,Mar,2,true,96776.99,95413.42,11770,47321.9,87016.32,13268.88,15097.22,221681.33,199450.88,214404.79,125386.88,387.11
Boys Tops,Boys,Tops,Ecommerce,2025,May,4,true,95982.75,96660.26,14573.98,35029.31,99624.15,11611.25,8783.81,258805.24,298569.47,263270.31,72678.78,383.93
Girls Swim,Girls,Swim,Ecommerce,2026,Dec,11,false,95614.45,94446.32,13013.3,27520.96,,12400.63,,,240772.72,212843.42,80468.24,382.46
Girls Tops,Girls,Tops,Retail Stores,2024,Dec,11,true,95351.64,95740.74,10962.65,29572.78,92919.32,9307.57,9867.02,214373.83,271402.29,212873.78,46988.87,858.16
Boys Bottoms,Boys,Bottoms,Ecommerce,2025,Dec,11,true,95333.43,96837.62,14176.87,23918.61,103466.98,11859.32,12390.23,213102.91,264882.93,218807.25,61498.4,381.33
Girls Dresses,Girls,Dresses,Retail Stores,2024,Aug,7,true,95285.82,93613.17,9757.51,44979.37,89776.32,9238.75,10610.06,278631.33,262198.67,278553.43,121736.91,857.57
Girls Tops,Girls,Tops,Wholesale,2026,Feb,1,true,95144.6,105443.05,1902.59,90236.73,97031.17,1849.61,2016.95,81372.23,33684.16,100781.12,164186.32,95.14
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Feb,1,true,94579.11,89602.92,10407.42,26917.43,102112.28,12505.69,12734.39,263587.55,282139.82,268632.08,93955.38,378.32
Girls Dresses,Girls,Dresses,Wholesale,2024,Sep,8,true,94282.68,92038.76,1585.51,58462.71,94972.67,2109.67,1355.01,73913.26,70045.45,78261.57,104702.75,94.28
Girls Dresses,Girls,Dresses,Retail Stores,2024,Jul,6,true,94026.07,89358.02,10651.01,39999.16,97772.98,8912.66,8095.11,263338.78,233854.21,262198.67,132129.41,846.23
Girls Sets,Girls,Sets,Ecommerce,2025,Sep,8,true,94018.02,97483.71,14618.21,30722.04,88690.03,12216.4,14196.08,230513.93,267768.45,219857.7,58699.74,376.07
Girls Dresses,Girls,Dresses,Retail Stores,2026,Jan,12,false,93521.03,90153.31,9653.85,0,,9661.66,,,561851.73,457827.35,0,841.69
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2025,Nov,10,true,93377.28,95773.47,13704.12,65587.72,80207.7,11574.24,12973.31,267756.76,204597.31,263570.75,164298.47,373.51
Baby Rompers,Baby,Rompers,Ecommerce,2025,Apr,3,true,93372.72,94177.25,12878.13,65844.09,102583.04,12126.17,14440.16,244346.21,187122.42,255888.98,174638.94,373.49
Girls Sets,Girls,Sets,Ecommerce,2025,Aug,7,true,93241.56,90300.7,12854.12,39477.61,103528.34,13049.55,15366.07,254883.32,245753.09,267768.45,128679.45,372.97
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,Aug,7,true,93238.17,90300.7,11205.7,35220.94,85415.24,13417.84,11864.42,279378.35,253277.28,281510.24,135261.92,372.95
Boys Tops,Boys,Tops,Ecommerce,2025,Mar,2,true,93132.88,93999.89,12536.69,56198.61,102668.6,14401.82,15773.4,198622.39,197630.11,214542.47,124819.6,372.53
Baby Rompers,Baby,Rompers,Ecommerce,2026,Oct,9,false,92732.1,94177.25,13894.12,66300.07,,10817.35,,,196774.19,266118.92,173265.11,370.93
Girls Sets,Girls,Sets,Ecommerce,2024,Jun,5,true,92699.07,89112.53,10515.75,10854.07,88317.82,13922.54,11741.11,230936.58,291330.73,223843.22,39504.9,370.8
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2026,Nov,10,false,92497.2,92464.93,8758.66,73394.05,,10754.16,,,187507.18,267722.43,184299.09,832.47
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2024,Dec,11,true,92364.84,91012.8,11345.57,26951.98,80861.71,10727.09,10223.12,231760.84,236796.41,224258.91,90923.9,369.46
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,Aug,7,true,92338.77,92413,11498.75,47358.93,92195.56,13779.63,13389.35,257915.62,261837.74,262680.88,107330.89,369.36
Girls Dresses,Girls,Dresses,Retail Stores,2025,Feb,1,true,92207.9,89740.99,10713.99,13208.46,97328.03,10975.58,10345.88,265689.04,290918.73,267554.96,80649.58,829.87
Boys Tops,Boys,Tops,Ecommerce,2024,Apr,3,true,92081.72,91790.69,14050.97,69875.75,86325.26,12615.19,14410.75,256587.16,202245.12,267378.05,170198.16,368.33
Boys Tops,Boys,Tops,Ecommerce,2026,Aug,7,false,91962.87,92084.42,12171.11,37830.47,,12327.66,,,257626.82,248974.55,96006.12,367.85
Baby Rompers,Baby,Rompers,Ecommerce,2026,Jun,5,true,91086.99,93235.47,10892.83,1521.48,81105.46,14085.23,13096.23,214046.37,280476.05,204146.96,29207.49,364.35
Girls Tops,Girls,Tops,Retail Stores,2024,Nov,10,true,90951.29,88376.07,8125.15,61241.19,87240.24,10651.21,12291.72,277343.19,176268.21,271402.29,197555.14,818.56
Girls Bottoms,Girls,Bottoms,Retail Stores,2026,Dec,11,false,90901.25,85860.3,9826.07,23779.15,,9847.48,,,237969.88,211636.56,75233.53,818.11
Girls Sets,Girls,Sets,Ecommerce,2024,Oct,9,true,90892.17,90012.66,10551.37,65148.99,95680.31,10978.54,13011.06,243561.12,183943.56,262219.07,180509.79,363.57
Boys Tops,Boys,Tops,Ecommerce,2025,Jun,5,true,90752.01,87792.35,12718.7,2896.61,92515.48,12612.74,17854.76,197368.84,263270.31,202526.87,42984.32,363.01
Girls Sets,Girls,Sets,Ecommerce,2026,Feb,1,true,90405.76,89602.92,10596.54,15436.06,94937.8,12715.9,12122.38,259556.48,291283.31,259990.51,72190.49,361.62
Girls Tops,Girls,Tops,Wholesale,2025,Feb,1,true,90316.09,89358.51,1611.14,77331.38,84942.09,1693.12,2210.51,83027.64,34187.89,94912.54,152824.17,90.32
Girls Bottoms,Girls,Bottoms,Ecommerce,2024,Jun,5,true,90072.35,89112.53,10667.82,13801.13,94414.13,13879.88,16421.97,189944.26,281408.99,195995.35,18898.88,360.29
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,Jul,6,true,89651.75,88212.41,11708.2,41133.26,96251.55,10609.53,12126.63,259867.02,244665.83,261837.74,117791.8,358.61
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Feb,1,true,89629.84,88590.46,10858.09,15433.18,76461.32,13057.19,11936.06,289816.98,288028.4,266520.36,81537.52,358.52
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Jan,12,false,89134.08,88997.5,12446.82,0,,12528.03,,,518985.48,416966.82,0,356.54
Boys Bottoms,Boys,Bottoms,Ecommerce,2025,Nov,10,true,89062.35,89388.57,12316.38,66292,97465.96,13593.16,13681.19,248574.42,188431.17,264882.93,179463.52,356.25
Girls Sets,Girls,Sets,Retail Stores,2026,Dec,11,false,89019.95,85860.3,8242.17,22530.22,,8182.87,,,237678.79,194948.69,55273.91,801.18
Boys Tops,Boys,Tops,Ecommerce,2025,Oct,9,true,88871.15,88679.14,12357.92,57466.64,99096.73,12552.85,13158.35,234567.84,205822.79,244513.17,140469.86,355.48
Baby Rompers,Baby,Rompers,Ecommerce,2025,May,4,true,88860.01,86994.24,13346.39,30042.07,73877.76,11491.31,14341.49,245297,255888.98,241271.21,86088.98,355.44
Girls Bottoms,Girls,Bottoms,Ecommerce,2024,Oct,9,true,88030.31,90012.66,12542.25,59170.9,71733.59,10223.24,13853.3,292533.66,190962.73,264178.25,171821.19,352.12
Baby Rompers,Baby,Rompers,Ecommerce,2026,Sep,8,false,87903.9,89468.38,13702.34,22066.62,,12080.23,,,226154.26,196774.19,70955.66,351.62
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2025,Dec,11,true,87618.19,84890.12,8200.28,28656.13,86979.56,9521.8,11192.06,194201.28,224701.7,189510.64,62737.5,788.56
Boys Tops,Boys,Tops,Ecommerce,2026,Jul,6,true,87416.62,87898.76,12476.24,39224.17,87025.88,13418.81,12550.73,261283.4,232395.76,257626.82,126416.16,349.67
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,Jul,6,true,87360.59,86196.12,12635.6,41658.79,84492.97,10361.58,12240.47,253906.26,249802.16,253277.28,101546.73,349.44
Girls Dresses,Girls,Dresses,Wholesale,2025,Nov,10,true,87247.44,84938.63,1932.98,19697.64,94929.05,1683.62,1511.8,75368.57,140371.37,82142.32,30789.26,87.25
Girls Bottoms,Girls,Bottoms,Ecommerce,2024,Sep,8,true,86618.88,85512.03,12191.75,27802.65,89655.07,13216.82,11251.17,187547.78,223842.62,190962.73,67302.3,346.48
Girls Tops,Girls,Tops,Wholesale,2026,Jul,6,true,86556.75,96599.44,2199.22,63122.25,83045.77,1904.61,2227.57,91277.21,68926.64,87467.94,107089.22,86.56
Girls Tops,Girls,Tops,Retail Stores,2026,Apr,3,true,86373.9,97418.41,11419.84,60399.67,72107.4,8732.35,10887.26,245871.88,185070.8,252539.74,163352.56,777.37
Girls Tops,Girls,Tops,Wholesale,2026,Oct,9,false,86306.27,93878.33,1668.11,65811.11,,1984.05,,,49544.45,83812.49,122644.66,86.31
Boys Tops,Boys,Tops,Ecommerce,2024,May,4,true,85912.73,84789.7,12759.84,23013.11,76633.68,12393.56,13048.14,239678.39,267378.05,236451.69,67723.59,343.65
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2026,Apr,3,true,85852.68,92607.63,12777.64,59188.87,85850.59,10729.6,12942.16,241217.22,170743,245914.64,172097.34,343.41
Girls Sets,Girls,Sets,Ecommerce,2025,Jul,6,true,85744.35,86196.12,12457.29,39628.93,86319.45,10901.21,11325.91,236240.77,223552.26,245753.09,119189.37,342.98
Girls Swim,Girls,Swim,Ecommerce,2026,Nov,10,false,85611.59,87181.22,12446.71,67220.64,,12410.82,,,173497.86,240772.72,165639.72,342.45
Boys Bottoms,Boys,Bottoms,Ecommerce,2024,Dec,11,true,85282.14,84945.28,11509.33,26684.26,88921.51,12487.65,15924.25,187264.1,242631.25,195800.88,51280.55,341.13
Boys Bottoms,Boys,Bottoms,Ecommerce,2026,Apr,3,true,85228.5,86433.78,11430.87,65463.58,86071.86,12197.55,11019.27,242511.76,175574.59,232680.07,154872.44,340.91
Girls Dresses,Girls,Dresses,Wholesale,2026,Aug,7,false,84998.53,82540.36,1471.2,0,,1631.9,,,164984.69,89494.75,11225.48,85
Baby Rompers,Baby,Rompers,Ecommerce,2024,Apr,3,true,84942.41,82611.62,11139.33,64726.26,80099.59,10073.56,12323.98,226509.47,171511.34,231913.94,155758.34,339.77
